seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	762617	762898	282	*	X00001	643837	762971	794826	31856	+	72	upstream	72	LINC01128
chr1	762617	762898	282	*	X00001	79854	761586	762902	1317	-	0	inside	3	LINC00115
chr1	763043	763304	262	*	X00002	643837	762971	794826	31856	+	0	inside	71	LINC01128
chr1	763043	763304	262	*	X00002	79854	761586	762902	1317	-	140	upstream	140	LINC00115
chr1	894549	894692	144	*	X00004	26155	879583	894679	15097	-	0	overlapStart	0	NOC2L
chr1	894549	894692	144	*	X00004	339451	895967	901099	5133	+	1274	upstream	1274	KLHL17
chr1	894802	894874	73	*	X00005	26155	879583	894679	15097	-	122	upstream	122	NOC2L
chr1	894802	894874	73	*	X00005	339451	895967	901099	5133	+	1092	upstream	1092	KLHL17
chr1	955131	955152	22	*	X00007	375790	955503	991499	35997	+	350	upstream	350	AGRN
chr1	955186	955208	23	*	X00008	375790	955503	991499	35997	+	294	upstream	294	AGRN
chr1	1051480	1051521	42	*	X00011	54991	1017198	1051736	34539	-	0	inside	214	C1orf159
chr1	1051540	1051574	35	*	X00012	54991	1017198	1051736	34539	-	0	inside	161	C1orf159
chr1	1051708	1051762	55	*	X00013	54991	1017198	1051736	34539	-	0	overlapStart	0	C1orf159
chr1	1051802	1051855	54	*	X00014	54991	1017198	1051736	34539	-	65	upstream	65	C1orf159
chr1	1167214	1167496	283	*	X00015	126792	1167629	1170420	2792	+	132	upstream	132	B3GALT6
chr1	1167214	1167496	283	*	X00015	51150	1152288	1167447	15160	-	0	overlapStart	0	SDF4
chr1	1167639	1167654	16	*	X00016	126792	1167629	1170420	2792	+	0	inside	9	B3GALT6
chr1	1167639	1167654	16	*	X00016	51150	1152288	1167447	15160	-	191	upstream	191	SDF4
chr1	1167668	1167678	11	*	X00017	126792	1167629	1170420	2792	+	0	inside	38	B3GALT6
chr1	1167668	1167678	11	*	X00017	51150	1152288	1167447	15160	-	220	upstream	220	SDF4
chr1	1167865	1168111	247	*	X00018	126792	1167629	1170420	2792	+	0	inside	235	B3GALT6
chr1	1167865	1168111	247	*	X00018	51150	1152288	1167447	15160	-	417	upstream	417	SDF4
chr1	1209175	1209296	122	*	X00019	118424	1189292	1209234	19943	-	0	overlapStart	0	UBE2J2
chr1	1243363	1243379	17	*	X00020	126789	1243994	1247057	3064	+	614	upstream	614	PUSL1
chr1	1243682	1243877	196	*	X00021	126789	1243994	1247057	3064	+	116	upstream	116	PUSL1
chr1	1243939	1244153	215	*	X00022	126789	1243994	1247057	3064	+	0	overlapStart	0	PUSL1
chr1	1310439	1311003	565	*	X00023	54998	1309110	1310818	1709	-	0	overlapStart	0	AURKAIP1
chr1	1342495	1342817	323	*	X00024	55052	1337276	1342693	5418	-	0	overlapStart	0	MRPL20
chr1	1370752	1371193	442	*	X00025	64856	1370903	1378262	7360	+	0	overlapStart	0	VWA1
chr1	1407047	1407326	280	*	X00026	83858	1407164	1444689	37526	+	0	overlapStart	0	ATAD3B
chr1	1407339	1407369	31	*	X00027	83858	1407164	1444689	37526	+	0	inside	174	ATAD3B
chr1	1447457	1447475	19	*	X00028	55210	1447523	1470067	22545	+	47	upstream	47	ATAD3A
